MN ERT,N293929556
CH MSX,R1685335
BR YNI,R314601
IT FDN,R39638
AU URN,R11676272
US W4G,R9677216
CH SNO,R1684751
AR ASA,W203302827
PL GOS,R3962868
CI AGB,N2721007532
US UMI,R110287
US BD5,R130826
DE WFH,R452969
US XRP,R169368
AU MOK,R6450393
US UZE,R182771
BR XAX,R296746
IT NOS,R45315
DE DDO,R12704040
DE SOE,R153481
IT BCG,N1984084108
BR NON,R332481
US KND,R186512
US 9VE,N158857982
LV VSA,R13440223
IT ZSI,N5176445119
RO GRI,N454155281
GB KDG,N281002978
JP SIK,N8837914493
US NHU,R8536166
NO TAA,R406655
ES GAA,R345083
ES EGO,R347840
PL LPW,R2713295
BR CBI,R296539
DE ECM,R1978256
DE HND,R929928
GB BXL,W964097956
US NGL,R112930
NA SWP,N33364835
EG QZZ,N299498464
AR VNA,R4585334
FR NT5,R1770668
KW SWK,W431870815
GB ANP,N29271033
GR SDH,N1156498593
US FQR,N158395882
SE OEV,R935629
FR FBS,R2730344
GB GSS,N30644152
BR SZM,R315008
RU PFO,R3138661
IT S29,R40506
GB WTT,R1022600
ES CTB,R10968478
US FYX,R137639
PL ZWA,R3443533
US BWS,R237604
US SGC,R3529457
GB WHH,N208130009
US DYZ,R15336271
VN PHA,R7082775
PT LDI,R3636722
RU UMB,W112671743
DE LZB,R533262
DE BIE,R443925
NL DHE,R165288
FR LQ5,R294958
FR M62,R214598
US UT4,R198836
FI YMU,N271954235
IT MDZ,R43513
UY RBR,R3851138
DE ZBH,R356990
DE BQA,R1022878
PE AIJ,R1953202
FR YEZ,R103755
GB APS,N25311328
US SZH,R207039
FR YMC,R75218
FR APC,R9165398
US EXB,R127757
HR RES,N341466732
ZA MPM,N262721547
AU PIC,R6076698
GB RLD,R2504083
FR YQZ,R276548
DE 2AN,R1259135
GB CHC,R1859167
AM ASH,W217929027
ZA WLT,N243200508
FR AN2,R131842
PL CHJ,R3010501
US PE7,R171072
ZW GUI,N5357610634
FR SWS,R150940
PT MDE,N4360242982
US L54,R127671
DE FBH,R401692
GB ALA,N29345506
PL MLZ,R2850395
FR PNT,R255441
DE GGL,N29620398
AU PGT,R11677509
BE VBG,N5649164569
CI BUU,N9517111609
US PCL,R183933
US TR2,R8374449
FR VQS,R3231200
IT TCI,R43861
US ZSM,N158630622
DK HOB,N10734401111
PH MAA,N198505398
FR OV2,R142047
NO HJJ,N191799075
IT UIN,R40421
US MM7,R14962767
FR SOF,R1136133
DE PIN,R443487
NL RWD,R418964
ES RIP,R344946
AT SEN,N240032122
CN CEX,R2044151
FR A5P,R1771469
GB WGH,R2595032
CN MLI,N8273883122
US PVZ,R182665
GB HAR,N29819573
FR ZBG,R1319715
FR N99,R288589
US M59,N154359056
IT ARO,R45500
GB 2AB,N966630237
IT XPC,R43970
IT CUL,N4428143275
DE GRG,R444535
FR EBR,R132572
FR GUM,N1569363931
US 9BW,R12221620
KI TSU,R3830778
DE PTD,R162452
PH TAL,R16123774
AU GMV,R2505822
US DVA,R175886
BE STA,R60973
PL CYM,R5344585
US YNA,R237745
FR F6E,R2693892
FR EPV,R142858
DE HBM,R1124261
CA CNH,N1260366883
US QML,R251451
BR NTR,R2220789
FR C5U,R147553
JP YMC,N8887059139
NE MAL,N6114046114
IT ZUN,R41124
US OSB,R140271
ES ZNV,R344075
BR CRN,R362314
US BNF,N150920139
FR 2RJ,R53439
AT OBG,R533099
ES AUD,R12632223
IT BIG,N540224728
IT VRZ,R43105
US L5Q,N154047727
BR CZN,R332815
DE RLM,R450121
GA LTL,N2178082117
BS TZN,R3776678
ES FTL,R346233
FR ASF,R129448
US ECQ,R2999143
IT TSM,R45950
FR HTM,R1074395
US B7R,R122985
IT ZKI,R44401
DE FDG,R1231980
BE SJB,R4635625
GB LLG,R11087722
NO BAK,N4080671178
US LGB,R112100
US GVC,R182617
CL PRQ,R1795811
NL WPI,R161401
BR KAR,R315053
DE SPD,R1777396
IE BFT,R13653175
SK TKV,R2205569
BE KPB,R3963946
SK LPV,R2187767
FR OYC,R953223
FR FLI,R2960182
US RB7,R136693
AU KYV,R6037062
US CPL,R140937
GB DNW,R4743741
FR DCY,R158481
BR CFD,R315166
US OCO,R251876
NL HNA,R165010
GB DAW,N27459107
ES BRN,R346954
PG KSG,N7781608456
ES CLD,R12706850
FR FFO,R3074720
FR C3H,R88350
FR CGR,R139269
CZ BRI,R429011
BR CBJ,R315214
US YHB,R121443
PA COZ,N7846799097
BR BNO,R303640
DE JRG,R391367
PL POA,N31584106
BR MPT,R315381
DK TB4,N10904551688
US XFI,R239911
US UC8,R15688466
US CXJ,R183321
ES TTO,N3778037243
US HDB,R188259
GB ULL,N255111977
CN JYN,R3289202
US 4PB,R123030
CY KYR,N676672956
US PYK,R251495
CN GTI,N1535265375
AU BWV,R11675860
FR SVC,R74268
