HU ORO,R1027762
CN BPX,R12346189
DE BIQ,R10418300
GB BCM,R2868824
IL ARB,N10285674412
BR MQD,R242345
US HMQ,R188499
US M6B,R240062
IT MBR,R45273
AT LAU,N987637780
US YLX,R128948
FR FQO,R121869
FR MLO,R338001
ES VOL,R340696
DE TGE,R152290
US AT7,N154352261
MX LCO,R5605904
US EGV,R251600
US HN3,R181499
IT MN8,R39203
BF TEM,N2425688851
CA KGM,N2652018857
FR PET,R102533
JP YSG,R4087881
JP MOB,R2679937
BR PDY,R242678
MX TAX,N458608920
SE LOT,N1723048028
SR HTT,N8954732103
ES QSC,R7411911
US RBU,R110118
CA GRI,N52557607
FR LEL,R225037
DE ZUH,R1257089
DE ZBK,R1070989
FR YVV,R550090
BR LPA,R298054
AT WRT,N5100340990
FR DEN,R53825
ES CIJ,R344058
FR SXZ,R129436
FR NP4,R55161
RU SEW,R2064358
US NYB,R175962
BR DLD,R242373
US C5A,N158336649
US LTQ,W33612935
GB ROT,N1137852388
US CG3,R251481
MX SCF,N4649091779
MX IRP,N269907341
CA HNB,R7927117
US 7LY,R3077040
US PP9,N158577629
BR ART,R302612
IT BFR,N596132096
DE KZZ,R2501390
FR ADC,R133865
DE HRH,R2350686
JP KUJ,R3352044
FR PX2,R78117
CA PBS,R8042835
FR MB6,N240495562
FR KIU,R386070
NO GVA,N1315353612
US ZCP,R134781
DE BU2,R3971374
CA WCY,R9628625
BE MBY,R4681818
FR KQF,R3190580
DE LTB,R1273355
CV PLM,N28094913
IT BNR,R46155
NL CTO,R144727
BR BBO,R298357
BR RDS,R296719
BR KPX,R314828
FR IGX,R1696133
BE OSG,R1336117
FR HRA,R935852
FR 4OH,R75161
DE NDQ,R451703
US OUX,R12591561
BR ERC,R297785
FR R3L,R2963766
BG BAN,N273812727
DE LUA,R1322898
US REL,R188130
MG MOQ,N710305755
FI HUN,R2385387
US 2BY,N158811642
FR FO8,R22367
FR KAQ,R1797651
CH LNU,R1684350
GB WKE,N51670079
CH BUZ,R1682098
NL VFR,R1448991
DE SII,R1022870
PL ZIN,R2983975
AR VLI,R3442889
ID PAL,N296110116
IT NSG,R43188
PL UCH,R3029549
US GD8,R128983
IT 3BJ,R41302
US OSI,R206774
CN FKJ,N2065844950
DE AHE,N292581793
US BJC,R1411321
DK HNN,N6121109293
CN DNG,R15850785
US VMO,R3248151
GB RG9,R1022575
US TRT,R198977
CN GAI,R2771991
RU UGL,R10188159
US SOI,R175877
PT LSO,R6021545
US CLO,N153607163
FR UZL,R358757
US PVA,N150976364
US KGS,R194072
FR M2S,N6849522605
CH RER,R1685129
IT CSZ,R45518
BE SGX,N8094614635
BR MSK,R336874
FR CGH,R367132
AT NEK,R65078
PL PHN,N692624483
AR CAA,R3565832
PL JKI,R3380421
US QOY,R6571640
AU BRI,N113580452
FR S9G,R50275
PT PNC,R5395739
US R8O,R170644
FR TBY,R3354170
HU UJZ,R1323405
ES RIJ,R347556
NZ WAO,N331660552
CA MTA,N51970860
IT VCV,R44216
DE BQN,R420484
BR SJR,R333652
US BG7,R170884
PL ZWG,N1867070635
GB ALD,N1688815997
US QNG,R239916
NO SVD,N9671519815
US CLP,N150920573
BE KKR,R1326906
NL ELO,R1422691
US XPN,R123425
JP EIN,R4085739
BE IDE,R3390509
ES VJL,R342018
GB PTR,R4475070
