GB URG,R6090404
GB BEO,N1042635252
IT IM5,R42818
SE DEJ,N29532120
DE LUC,R453167
FR NLC,R1689073
SK KA2,R2207329
PL CLZ,R2816594
US CEU,R193848
CA HMM,R7785081
BR SJP,R298344
FR B8G,R2140625
US RPF,R128410
ID JTH,N1308662340
US W22,R183311
US MZB,R140951
US PUZ,R184098
FR YSB,R402925
US HZO,R186529
US WNJ,N158919586
GB KMP,R6073472
FR MEM,R122216
PL CZD,R2828734
FR CT3,R28960
ES GTL,N60600480
BR IJB,R298206
IT ZGX,R42418
IN BID,N245642463
CH KTN,R1682154
JP TAM,R3934615
US GYY,R127298
RU KUL,R13043965
DE FED,R1256032
US NCY,N151338992
GB XGT,R185222
DE SSE,R659821
GB STP,N178502068
CN SEZ,N6372318867
GB LLT,R11038704
CH KT5,R1684346
RO BOB,R14733883
FR TV2,R117356
ES ARD,R12637275
FR UZR,R228409
CA BMF,N1525547549
ES ESC,R3355958
DE GRV,R168489
US NIO,N150935544
ES ACJ,N275424031
SI K53,N88220066
GB RIP,R7654556
FR OBT,R279241
AU EDI,R11692467
MN COQ,W458963867
SI LBU,N96027858
TR CKZ,R1816280
FR IVM,R2459103
US OZ9,N153357721
AU BRH,R2456146
CN XNQ,R10490945
ER MSW,N288517213
US AGL,R188700
GB CEO,N48233375
NL AHZ,R1371370
BR SSM,R301099
FR ONV,R1351402
ZA MPA,N25456673
ES MTU,R342580
IT MIT,N1210266474
ID JBG,R8333624
US OIF,N151356067
FR AUL,R55054
IN IXN,N1516327511
GB WLZ,N254610386
US LPI,N151680293
US OTV,R176070
US IIB,R129833
FR FQP,R114762
AR RGL,R10916819
FR SD7,R1984063
PL PSC,N31879617
IT CC2,N414666154
US ZNG,R182436
DE SBN,R934460
GB BA5,W649494425
CH SWE,R1683575
NL CUY,R13621786
FR VXY,R70994
FI VKA,R13328931
RU NAR,W807188280
FR S3N,R124129
US ITO,R119192
DE MII,R445866
US PUN,R11052655
NG MTA,R12200352
PT MLR,R6522365
CZ OND,R436115
BR KBS,R301361
FR BAF,R901107
DE AHL,R152285
ES 3LT,R342224
US LC5,R130781
TR PAM,N2386423987
IT BT5,R40533
US DZI,R452081
US GIQ,N151476565
MX SMA,N2291986243
DE QFD,R3097037
SK HBV,R2207326
US EDI,R121425
NL RSH,R1883611
MX SBA,N1215400773
GN GII,N1717506744
CA BWK,R9075558
SE SEA,R935510
BR TCA,R242446
KZ PPK,W168507522
US HTW,R182414
FR 2KN,R161240
US RHS,R130332
IT TTV,N1444389477
US APE,R582189
US H9T,N158910988
SE BOL,N313106032
GB WWD,R15953328
PL RYP,R2645298
EE MRD,R8196805
FR GAQ,R208026
US W5R,R112381
VE SOM,N3713676279
DE RHR,R950732
BR BUL,R315331
US WAE,R240106
FI PAR,R2374222
AT LZN,R3832571
US CAV,R115393
ES ZZA,R344973
DE OKE,R65420
DE EZL,R324304
ES EGL,R341695
DE 9AG,R4008868
PA NPR,R11838212
FR MJR,R2399805
IT OPV,R44635
DE BAA,N1680861567
RS BPA,N1647188835
MX TPV,N473373673
FR 5HA,R2754517
DE 66Z,R288260
US CP4,N5517364927
FR G9V,R138460
US 8IS,R251648
CH ROR,R1683928
UA ERD,R1280581
DE HAR,R215963
GB PTN,R3008530
DE BZC,N960428472
GW BNT,N2298095021
GB CEI,R11366843
MW LMB,N5261979674
FR D5I,R118252
GB HAW,N269611584
US XCC,R134734
BR SBM,R303666
CN BIC,N2065802981
GB RSG,N540731
US VF3,R9170313
DE MPP,R1253882
BR VPU,R298047
FR TVG,R51913
VE LAG,R2442711
IT ZUP,R43195
GB SWU,R3742523
IT ETR,R45781
GB FLG,N89456179
ES ZAJ,R343314
IQ ALF,N2487917940
ZA ZEH,N7786554005
IT ZEI,R45960
BR LMA,R302611
AR NOS,R9448186
FR EG2,R70894
DE QUS,R2407636
US KHP,R130051
GB BRP,R5669991
BR IGP,R298473
AU MMP,R11689390
FR VAT,R1161681
CZ MIB,R438337
DK KNB,N10741049983
